Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,8. Well Hit,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
PITCH (145),1585020,13273,R13,04-21-2019,3 Keely Rochard,R-Hand,55 Megan Dray,R-Hand,,LR,,Foul,0--1,0--0,,,,,0 Out,,5. Inning,Virginia Tech,UNC,,344;331,PITCH
PITCH (146),1598326,12459,R13,04-21-2019,3 Keely Rochard,R-Hand,55 Megan Dray,R-Hand,Change Up,LM,,Strike Called,0--2,0--1,,,,,0 Out,,5. Inning,Virginia Tech,UNC,,223;375,PITCH
PITCH (147),1610818,10907,R13,04-21-2019,3 Keely Rochard,R-Hand,55 Megan Dray,R-Hand,,UPM,,Ball,1--2,0--2,,,,,0 Out,,5. Inning,Virginia Tech,UNC,,302;44,PITCH
PITCH (148),1621758,10191,R13,04-21-2019,3 Keely Rochard,R-Hand,55 Megan Dray,R-Hand,,RIGHTM,,Ball,2--2,1--2,,,,,0 Out,,5. Inning,Virginia Tech,UNC,,450;341,PITCH
PITCH (149),1631983,10134,R13,04-21-2019,3 Keely Rochard,R-Hand,55 Megan Dray,R-Hand,,UPM,,Ball,3--2,2--2,,,,,0 Out,,5. Inning,Virginia Tech,UNC,,119;42,PITCH
PITCH (150),1642150,12164,R13,04-21-2019,3 Keely Rochard,R-Hand,55 Megan Dray,R-Hand,,MR,,Foul,3--2,3--2,,,,,0 Out,,5. Inning,Virginia Tech,UNC,,398;210,PITCH
PITCH (151),1654348,10832,R13,04-21-2019,3 Keely Rochard,R-Hand,55 Megan Dray,R-Hand,,MR,,Strike Called,Strikeout,3--2,,,,,0 Out,,5. Inning,Virginia Tech,UNC,,391;295,PITCH
PITCH (152),1665213,15559,R13,04-21-2019,3 Keely Rochard,R-Hand,27 Berlynne Delamora,R-Hand,,UPR,,Ball in Play,,0--0,SS3,Line Out,,,1 Out,,5. Inning,Virginia Tech,UNC,181;250,389;201,PITCH
PITCH (153),1680805,11378,R2,04-21-2019,3 Keely Rochard,R-Hand,42 Hannah George,R-Hand,,UPM,,Ball,1--0,0--0,,,,,2 Out,,5. Inning,Virginia Tech,UNC,,278;77,PITCH
PITCH (154),1692217,10392,R2,04-21-2019,3 Keely Rochard,R-Hand,42 Hannah George,R-Hand,,UPR,,Strike Called,1--1,1--0,,,,,2 Out,,5. Inning,Virginia Tech,UNC,,372;130,PITCH
PITCH (155),1702643,9621,R2,04-21-2019,3 Keely Rochard,R-Hand,42 Hannah George,R-Hand,,LEFTM,,Ball,2--1,1--1,,,,,2 Out,,5. Inning,Virginia Tech,UNC,,75;259,PITCH
PITCH (156),1712296,8872,R2,04-21-2019,3 Keely Rochard,R-Hand,42 Hannah George,R-Hand,,MR,,Strike Swinging,2--2,2--1,,,,,2 Out,,5. Inning,Virginia Tech,UNC,,352;299,PITCH
PITCH (157),1721202,10350,R2,04-21-2019,3 Keely Rochard,R-Hand,42 Hannah George,R-Hand,,UPM,,Strike Swinging,Strikeout,2--2,,,,,2 Out,,5. Inning,Virginia Tech,UNC,,220;106,PITCH
PITCH (158),1731585,7594,Bases Empty,04-21-2019,42 Hannah George,R-Hand,2 Jayme Bailey,R-Hand,,LM,,Strike Called,0--1,0--0,,,,,0 Out,,5. Inning,UNC,Virginia Tech,,272;351,PITCH
PITCH (159),1739213,9198,Bases Empty,04-21-2019,42 Hannah George,R-Hand,2 Jayme Bailey,R-Hand,Change Up,LL,,Strike Swinging,0--2,0--1,,,,,0 Out,,5. Inning,UNC,Virginia Tech,,180;342,PITCH
PITCH (160),1748444,8183,Bases Empty,04-21-2019,42 Hannah George,R-Hand,2 Jayme Bailey,R-Hand,,UPM,,Foul,0--2,0--2,,,,,0 Out,,5. Inning,UNC,Virginia Tech,,210;153,PITCH
PITCH (161),1756660,10385,Bases Empty,04-21-2019,42 Hannah George,R-Hand,2 Jayme Bailey,R-Hand,,UPM,,Ball,1--2,0--2,,,,,0 Out,,5. Inning,UNC,Virginia Tech,,267;51,PITCH
PITCH (162),1767078,11775,Bases Empty,04-21-2019,42 Hannah George,R-Hand,2 Jayme Bailey,R-Hand,,MR,,Ball in Play,,1--2,3B3,Fly Out,,,0 Out,,5. Inning,UNC,Virginia Tech,202;268,347;301,PITCH
PITCH (163),1778886,7967,Bases Empty,04-21-2019,42 Hannah George,R-Hand,4 Darby Trull,L-Hand,,LR,,Strike Called,0--1,0--0,,,,,1 Out,,5. Inning,UNC,Virginia Tech,,389;342,PITCH
PITCH (164),1786886,12314,Bases Empty,04-21-2019,42 Hannah George,R-Hand,4 Darby Trull,L-Hand,,MR,,Ball in Play,,0--1,FBLF,Fly Out,,,1 Out,,5. Inning,UNC,Virginia Tech,89;235,345;235,PITCH
PITCH (165),1799234,8599,Bases Empty,04-21-2019,42 Hannah George,R-Hand,13 Caitlyn Nolan,R-Hand,,UPM,,Ball,1--0,0--0,,,,,2 Out,,5. Inning,UNC,Virginia Tech,,257;84,PITCH
PITCH (166),1807866,10517,Bases Empty,04-21-2019,42 Hannah George,R-Hand,13 Caitlyn Nolan,R-Hand,,LR,,Ball in Play,,1--0,PF,Ground Out,,,2 Out,,5. Inning,UNC,Virginia Tech,245;271,384;315,PITCH
PITCH (167),1818417,15619,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,5 Campbell Hutcherson,L-Hand,,LR,,Ball in Play,,0--0,3B2,Ground Out,,,0 Out,Bunt Attempt,6. Inning,Virginia Tech,UNC,216;291,321;313,PITCH
PITCH (168),1834069,14154,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,22 Destiny DeBerry,L-Hand,,LM,,Ball in Play,,0--0,PF,Single,,,1 Out,Bunt Attempt,6. Inning,Virginia Tech,UNC,221;296,230;339,PITCH
PITCH (169),1848256,9934,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,4 Leah Murray,L-Hand,,UPM,,Strike Called,0--1,0--0,,,,,2 Out,,6. Inning,Virginia Tech,UNC,,246;181,PITCH
PITCH (170),1858224,10165,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,4 Leah Murray,L-Hand,,RIGHTM,,Ball,1--1,0--1,,,,,2 Out,,6. Inning,Virginia Tech,UNC,,466;375,PITCH
PITCH (171),1868422,10867,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,4 Leah Murray,L-Hand,,DOWNM,,Ball,2--1,1--1,,,,,2 Out,,6. Inning,Virginia Tech,UNC,,349;426,PITCH
PITCH (172),1879323,14894,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,4 Leah Murray,L-Hand,,LR,,Ball in Play,,2--1,SCF1,Single,,,2 Out,Slap Attempt,6. Inning,Virginia Tech,UNC,196;167,300;304,PITCH
PITCH (173),1894251,9910,R1,04-21-2019,3 Keely Rochard,R-Hand,10 Kristina Burkhardt,L-Hand,,LEFTM,,Ball,1--0,0--0,,,,,2 Out,,6. Inning,Virginia Tech,UNC,,34;142,PITCH
PITCH (174),1904194,9889,R1,04-21-2019,3 Keely Rochard,R-Hand,10 Kristina Burkhardt,L-Hand,,MR,,Strike Swinging,1--1,1--0,,,,,2 Out,,6. Inning,Virginia Tech,UNC,,326;299,PITCH
PITCH (175),1914116,9954,R1,04-21-2019,3 Keely Rochard,R-Hand,10 Kristina Burkhardt,L-Hand,,DOWNM,,Ball,2--1,1--1,,,,,2 Out,,6. Inning,Virginia Tech,UNC,,453;453,PITCH
PITCH (176),1924104,14292,R1,04-21-2019,3 Keely Rochard,R-Hand,10 Kristina Burkhardt,L-Hand,,MR,,Ball in Play,,2--1,2B3,Ground Out,,,2 Out,,6. Inning,Virginia Tech,UNC,286;195,321;297,PITCH
PITCH (177),1938429,7973,Bases Empty,04-21-2019,42 Hannah George,R-Hand,14 Emma Strouth,R-Hand,,LEFTM,,Ball,1--0,0--0,,,,,0 Out,,6. Inning,UNC,Virginia Tech,,67;348,PITCH
PITCH (178),1946435,15590,Bases Empty,04-21-2019,42 Hannah George,R-Hand,14 Emma Strouth,R-Hand,,MM,,Ball in Play,,1--0,FB1B,Fly Out,,,0 Out,,6. Inning,UNC,Virginia Tech,377;278,262;266,PITCH
PITCH (179),1962058,8462,Bases Empty,04-21-2019,42 Hannah George,R-Hand,8 Kelsey Bennett,R-Hand,,UPR,,Strike Called,0--1,0--0,,,,,1 Out,,6. Inning,UNC,Virginia Tech,,382;179,PITCH
PITCH (180),1970553,8097,Bases Empty,04-21-2019,42 Hannah George,R-Hand,8 Kelsey Bennett,R-Hand,,LM,,Strike Swinging,0--2,0--1,,,,,1 Out,,6. Inning,UNC,Virginia Tech,,206;344,PITCH
PITCH (181),1978683,16476,Bases Empty,04-21-2019,42 Hannah George,R-Hand,8 Kelsey Bennett,R-Hand,,ML,,Ball in Play,,0--2,MRCF,Fly Out,,,1 Out,,6. Inning,UNC,Virginia Tech,345;129,169;208,PITCH
PITCH (182),1995192,8138,Bases Empty,04-21-2019,42 Hannah George,R-Hand,9 Al Velazquez,L-Hand,,LM,,Foul,0--1,0--0,,,,,2 Out,,6. Inning,UNC,Virginia Tech,,223;321,PITCH
PITCH (183),2003364,8492,Bases Empty,04-21-2019,42 Hannah George,R-Hand,9 Al Velazquez,L-Hand,,MR,,Strike Called,0--2,0--1,,,,,2 Out,,6. Inning,UNC,Virginia Tech,,314;299,PITCH
PITCH (184),2011889,12760,Bases Empty,04-21-2019,42 Hannah George,R-Hand,9 Al Velazquez,L-Hand,,MM,,Ball in Play,,0--2,2B3,Ground Out,,,2 Out,,6. Inning,UNC,Virginia Tech,285;215,203;257,PITCH
PITCH (185),2024682,13423,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,8 Kiani Ramsey,L-Hand,,LR,,Ball in Play,,0--0,SS3,Ground Out,,,0 Out,,7. Inning,Virginia Tech,UNC,194;250,304;317,PITCH
PITCH (186),2038138,7995,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,28 Brittany Pickett,L-Hand,Change Up,LR,,Strike Called,0--1,0--0,,,,,1 Out,,7. Inning,Virginia Tech,UNC,,373;311,PITCH
PITCH (187),2046166,10562,Bases Empty,04-21-2019,3 Keely Rochard,R-Hand,28 Brittany Pickett,L-Hand,,LEFTM,,Ball,1--1,0--1,,,,,1 Out,,7. Inning,Virginia Tech,UNC,,46;188,PITCH
PITCH (188),2056761,11908,R1,04-21-2019,3 Keely Rochard,R-Hand,55 Megan Dray,R-Hand,,MR,,Foul,1--2,1--1,,,,,1 Out,,7. Inning,Virginia Tech,UNC,,344;282,PITCH
PITCH (189),2068703,14490,R1,04-21-2019,3 Keely Rochard,R-Hand,55 Megan Dray,R-Hand,,RIGHTM,,Ball,Hit By Pitch,1--2,,,,,1 Out,,7. Inning,Virginia Tech,UNC,,473;301,PITCH
PITCH (190),2083226,10814,R12,04-21-2019,3 Keely Rochard,R-Hand,27 Berlynne Delamora,R-Hand,,MR,,Strike Called,0--1,0--0,,,,,1 Out,,7. Inning,Virginia Tech,UNC,,333;291,PITCH
PITCH (191),2094074,10805,R12,04-21-2019,3 Keely Rochard,R-Hand,27 Berlynne Delamora,R-Hand,,,,Strike Swinging,0--2,0--1,,,,,1 Out,,7. Inning,Virginia Tech,UNC,,199;313,PITCH
PITCH (192),2104913,11961,R12,04-21-2019,3 Keely Rochard,R-Hand,27 Berlynne Delamora,R-Hand,,RIGHTM,,Foul,0--2,0--2,,,,,1 Out,,7. Inning,Virginia Tech,UNC,,446;182,PITCH
PITCH (193),2116907,14792,R12,04-21-2019,3 Keely Rochard,R-Hand,27 Berlynne Delamora,R-Hand,,MR,,Ball in Play,,0--2,SLCF,Fly Out,,,1 Out,,7. Inning,Virginia Tech,UNC,140;150,375;293,PITCH
PITCH (194),2131733,10992,R12,04-21-2019,3 Keely Rochard,R-Hand,42 Hannah George,R-Hand,,LEFTM,,Ball,1--0,0--0,,,,,2 Out,,7. Inning,Virginia Tech,UNC,,28;166,PITCH
PITCH (195),2142758,12978,R12,04-21-2019,3 Keely Rochard,R-Hand,42 Hannah George,R-Hand,,UPM,,Ball,2--0,1--0,,,,,2 Out,,7. Inning,Virginia Tech,UNC,,267;117,PITCH
PITCH (196),2155770,10076,R12,04-21-2019,3 Keely Rochard,R-Hand,42 Hannah George,R-Hand,,LM,,Strike Called,2--1,2--0,,,,,2 Out,,7. Inning,Virginia Tech,UNC,,243;355,PITCH
PITCH (197),2165879,9613,R12,04-21-2019,3 Keely Rochard,R-Hand,42 Hannah George,R-Hand,,LR,,Strike Swinging,2--2,2--1,,,,,2 Out,,7. Inning,Virginia Tech,UNC,,316;331,PITCH
PITCH (198),2175525,8797,R12,04-21-2019,3 Keely Rochard,R-Hand,42 Hannah George,R-Hand,,MR,,Strike Called,Strikeout,2--2,,,,,2 Out,,7. Inning,Virginia Tech,UNC,,380;248,PITCH
PITCH (199),2184355,7944,Bases Empty,04-21-2019,42 Hannah George,R-Hand,6 Lauren Duff,R-Hand,,DOWNM,,Ball,1--0,0--0,,,,,0 Out,,7. Inning,UNC,Virginia Tech,,129;422,PITCH
PITCH (200),2192332,17049,Bases Empty,04-21-2019,42 Hannah George,R-Hand,6 Lauren Duff,R-Hand,,LM,,Ball in Play,,1--0,DRCF,Fly Out,,,0 Out,,7. Inning,UNC,Virginia Tech,316;67,227;302,PITCH
PITCH (201),2209414,12255,Bases Empty,04-21-2019,42 Hannah George,R-Hand,18 Mackenzie Lawter,R-Hand,,UPR,,Ball in Play,,0--0,SS3,Ground Out,,,1 Out,,7. Inning,UNC,Virginia Tech,215;210,305;190,PITCH
PITCH (202),2221702,8052,Bases Empty,04-21-2019,42 Hannah George,R-Hand,29 Maddi Banks,L-Hand,,MM,,Foul,0--1,0--0,,,,,2 Out,Slap Attempt,7. Inning,UNC,Virginia Tech,,204;226,PITCH
PITCH (203),2229787,11315,Bases Empty,04-21-2019,42 Hannah George,R-Hand,29 Maddi Banks,L-Hand,,MR,,Ball in Play,,0--1,SS3,Line Out,,,2 Out,,7. Inning,UNC,Virginia Tech,202;240,307;228,PITCH
