Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,8. Well Hit,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
PITCH (177),1756664,11222,R2,04-13-2019,12 Allyson Frei,R-Hand,16 Meredith Slaw,L-Hand,LR,,Ball in Play,,1--0,Home Run LF,Home Run,1 RBI,Well Hit Ball,1 Out,,5. Inning,UVA,Virginia Tech,,387;328,PITCH
PITCH (178),1767920,6957,,04-13-2019,12 Allyson Frei,R-Hand,18 Mackenzie Lawter,R-Hand,LEFTM,,Ball,1--0,0--0,,,,,1 Out,,5. Inning,UVA,Virginia Tech,,72;348,PITCH
PITCH (179),1774911,7366,,04-13-2019,12 Allyson Frei,R-Hand,18 Mackenzie Lawter,R-Hand,LEFTM,,Ball,2--0,1--0,,,,,1 Out,,5. Inning,UVA,Virginia Tech,,60;310,PITCH
PITCH (180),1782310,12639,,04-13-2019,12 Allyson Frei,R-Hand,18 Mackenzie Lawter,R-Hand,ML,,Ball in Play,,2--0,DRF,Fly Out,,,1 Out,,5. Inning,UVA,Virginia Tech,391;68,133;257,PITCH
PITCH (181),1794982,6666,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,11 Cana Davis,R-Hand,LEFTM,,Ball,1--0,0--0,,,,,2 Out,,5. Inning,UVA,Virginia Tech,,91;377,PITCH
PITCH (182),1801682,8510,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,11 Cana Davis,R-Hand,ML,,Strike Called,1--1,1--0,,,,,2 Out,,5. Inning,UVA,Virginia Tech,,112;281,PITCH
PITCH (183),1810225,6455,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,11 Cana Davis,R-Hand,LEFTM,,Ball,2--1,1--1,,,,,2 Out,,5. Inning,UVA,Virginia Tech,,75;357,PITCH
PITCH (184),1816713,7565,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,11 Cana Davis,R-Hand,LEFTM,,Strike Swinging,2--2,2--1,,,,,2 Out,,5. Inning,UVA,Virginia Tech,,89;353,PITCH
PITCH (185),1824311,7667,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,11 Cana Davis,R-Hand,LEFTM,,Ball,3--2,2--2,,,,,2 Out,,5. Inning,UVA,Virginia Tech,,72;346,PITCH
PITCH (186),1832012,8146,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,11 Cana Davis,R-Hand,LEFTM,,Strike Swinging,Strikeout,3--2,,,,,2 Out,,5. Inning,UVA,Virginia Tech,,96;348,PITCH
PITCH (187),1840191,7921,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,24 Lacy Smith,R-Hand,UPR,,Strike Called,0--1,0--0,,,,,0 Out,,6. Inning,Virginia Tech,UVA,,321;115,PITCH
PITCH (188),1848145,9130,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,24 Lacy Smith,R-Hand,MR,,Foul,0--2,0--1,,,,,0 Out,,6. Inning,Virginia Tech,UVA,,377;261,PITCH
PITCH (189),1857309,7896,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,24 Lacy Smith,R-Hand,LEFTM,,Ball,1--2,0--2,,,,,0 Out,,6. Inning,Virginia Tech,UVA,,49;261,PITCH
PITCH (190),1865238,7993,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,24 Lacy Smith,R-Hand,DOWNM,,Ball,2--2,1--2,,,,,0 Out,,6. Inning,Virginia Tech,UVA,,126;448,PITCH
PITCH (191),1873264,13874,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,24 Lacy Smith,R-Hand,LL,,Ball in Play,,2--2,2B3,Ground Out,,,0 Out,,6. Inning,Virginia Tech,UVA,304;234,117;370,PITCH
PITCH (192),1887172,22211,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,4 Tori Gilbert,R-Hand,MR,,Ball in Play,,0--0,SS3,Ground Out,,,1 Out,,6. Inning,Virginia Tech,UVA,234;235,366;237,PITCH
PITCH (193),1909416,12174,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,88 Olivia Gott,R-Hand,LR,,Foul,0--1,0--0,,,,,2 Out,,6. Inning,Virginia Tech,UVA,,326;319,PITCH
PITCH (194),1921624,11722,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,88 Olivia Gott,R-Hand,LR,,Ball in Play,,0--1,PF,Ground Out,,,2 Out,,6. Inning,Virginia Tech,UVA,234;296,318;339,PITCH
PITCH (195),1933378,10955,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,31 Kayleigh Addington,R-Hand,LL,,Ball in Play,,0--0,PF,Ground Out,,,0 Out,,6. Inning,UVA,Virginia Tech,277;270,114;319,PITCH
PITCH (196),1944367,7827,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,2 Jayme Bailey,R-Hand,RIGHTM,,Ball,1--0,0--0,,,,,1 Out,,6. Inning,UVA,Virginia Tech,,422;253,PITCH
PITCH (197),1952227,6958,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,2 Jayme Bailey,R-Hand,DOWNM,,Ball,2--0,1--0,,,,,1 Out,,6. Inning,UVA,Virginia Tech,,91;451,PITCH
PITCH (198),1959218,7923,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,2 Jayme Bailey,R-Hand,LEFTM,,Ball,3--0,2--0,,,,,1 Out,,6. Inning,UVA,Virginia Tech,,82;281,PITCH
PITCH (199),1967175,8719,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,2 Jayme Bailey,R-Hand,LEFTM,,Strike Called,3--1,3--0,,,,,1 Out,,6. Inning,UVA,Virginia Tech,,100;313,PITCH
PITCH (200),1975927,10894,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,2 Jayme Bailey,R-Hand,LL,,Ball in Play,,3--1,SS3,Ground Out,,,1 Out,,6. Inning,UVA,Virginia Tech,223;230,122;341,PITCH
PITCH (201),1986855,7651,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,9 Al Velazquez,L-Hand,RIGHTM,,Ball,2--2,1--2,,,,,2 Out,,6. Inning,UVA,Virginia Tech,,426;384,PITCH
PITCH (202),1994539,9107,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,9 Al Velazquez,L-Hand,LEFTM,,Ball,2--0,1--0,,,,,2 Out,,6. Inning,UVA,Virginia Tech,,72;291,PITCH
PITCH (203),2003680,6629,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,9 Al Velazquez,L-Hand,DOWNM,,Ball,3--0,2--0,,,,,2 Out,,6. Inning,UVA,Virginia Tech,,441;482,PITCH
PITCH (204),2010343,9944,Bases Empty,04-13-2019,12 Allyson Frei,R-Hand,9 Al Velazquez,L-Hand,RIGHTM,,Ball,Walk,3--0,,,,,2 Out,,6. Inning,UVA,Virginia Tech,,440;271,PITCH
PITCH (205),2020320,7267,R1,04-13-2019,12 Allyson Frei,R-Hand,13 Caitlyn Nolan,R-Hand,DOWNM,,Ball,1--0,0--0,,,,,2 Out,,6. Inning,UVA,Virginia Tech,,434;455,PITCH
PITCH (206),2027620,7314,R1,04-13-2019,12 Allyson Frei,R-Hand,13 Caitlyn Nolan,R-Hand,LEFTM,,Ball,2--0,1--0,,,,,2 Out,,6. Inning,UVA,Virginia Tech,,84;195,PITCH
PITCH (207),2034967,8201,R1,04-13-2019,12 Allyson Frei,R-Hand,13 Caitlyn Nolan,R-Hand,DOWNM,,Ball,3--0,2--0,,,,,2 Out,,6. Inning,UVA,Virginia Tech,,143;442,PITCH
PITCH (208),2043202,8206,R1,04-13-2019,12 Allyson Frei,R-Hand,13 Caitlyn Nolan,R-Hand,DOWNM,,Ball,Walk,3--0,,,,,2 Out,,6. Inning,UVA,Virginia Tech,,420;428,PITCH
PITCH (209),2051442,11646,R12,04-13-2019,12 Allyson Frei,R-Hand,14 Emma Strouth,R-Hand,LL,,Ball in Play,,0--0,1B2,Fly Out,,,2 Out,,6. Inning,UVA,Virginia Tech,300;270,128;355,PITCH
PITCH (210),2063121,8518,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,19 Erika Osherow,R-Hand,DOWNM,,Strike Swinging,0--1,0--0,,,,,0 Out,,7. Inning,Virginia Tech,UVA,,333;404,PITCH
PITCH (211),2071673,7995,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,19 Erika Osherow,R-Hand,LR,,Foul,0--2,0--1,,,,,0 Out,,7. Inning,Virginia Tech,UVA,,380;337,PITCH
PITCH (212),2079701,9919,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,19 Erika Osherow,R-Hand,LEFTM,,Ball,1--2,0--2,,,,,0 Out,,7. Inning,Virginia Tech,UVA,,95;342,PITCH
PITCH (213),2089654,9391,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,19 Erika Osherow,R-Hand,DOWNM,,Ball,2--2,1--2,,,,,0 Out,,7. Inning,Virginia Tech,UVA,,424;417,PITCH
PITCH (214),2099078,13494,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,19 Erika Osherow,R-Hand,MR,,Ball in Play,,2--2,SS3,Ground Out,,,0 Out,,7. Inning,Virginia Tech,UVA,190;232,375;266,PITCH
PITCH (215),2112606,9231,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,14 Abigail Barber,L-Hand,LM,,Strike Called,0--1,0--0,,,,,1 Out,,7. Inning,Virginia Tech,UVA,,295;368,PITCH
PITCH (216),2121870,7581,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,14 Abigail Barber,L-Hand,DOWNM,,Ball,1--1,0--1,,,,,1 Out,,7. Inning,Virginia Tech,UVA,,431;457,PITCH
PITCH (217),2129485,8056,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,14 Abigail Barber,L-Hand,MR,,Foul,1--2,1--1,,,,,1 Out,,7. Inning,Virginia Tech,UVA,,384;279,PITCH
PITCH (218),2137574,9129,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,14 Abigail Barber,L-Hand,LEFTM,,Ball,Hit By Pitch,1--2,,,,,1 Out,,7. Inning,Virginia Tech,UVA,,58;182,PITCH
PITCH (219),2146737,8814,R1,04-13-2019,25 Carrie Eberle,R-Hand,15 Ashlee Davis,R-Hand,LR,,Strike Swinging,0--1,0--0,,,,,1 Out,,7. Inning,Virginia Tech,UVA,,340;390,PITCH
PITCH (220),2155584,8152,R1,04-13-2019,25 Carrie Eberle,R-Hand,15 Ashlee Davis,R-Hand,RIGHTM,,Ball,1--1,0--1,,,,,1 Out,,7. Inning,Virginia Tech,UVA,,415;315,PITCH
PITCH (221),2163769,9548,R1,04-13-2019,25 Carrie Eberle,R-Hand,15 Ashlee Davis,R-Hand,LEFTM,Catcher Throw Out,Strike Called,1--2,1--1,,,,,1 Out,,7. Inning,Virginia Tech,UVA,,100;326,PITCH
PITCH (222),2173350,8010,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,15 Ashlee Davis,R-Hand,RIGHTM,,Ball,3--2,2--2,,,,,2 Out,,7. Inning,Virginia Tech,UVA,,429;242,PITCH
PITCH (223),2181393,11468,Bases Empty,04-13-2019,25 Carrie Eberle,R-Hand,15 Ashlee Davis,R-Hand,LL,,Ball in Play,,3--2,2B3,Ground Out,,,2 Out,,7. Inning,Virginia Tech,UVA,302;240,142;324,PITCH
