Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
Virginia Tech vs Duke (124),1843920,11433,R1,04-20-2018,25 Carrie Eberle,R-Hand,14 Raine Wilson,R-Hand,Drop Ball,UM1,,Ball,1--0,0--0,,,,0 Out,,6. Inning,Virginia Tech,Duke,,244;155,Virginia Tech vs Duke
Virginia Tech vs Duke (125),1855353,11633,R1,04-20-2018,25 Carrie Eberle,R-Hand,14 Raine Wilson,R-Hand,Drop Ball,MM1,,Foul,1--1,1--0,,,,0 Out,,6. Inning,Virginia Tech,Duke,,229;249,Virginia Tech vs Duke
Virginia Tech vs Duke (126),1866986,12266,R1,04-20-2018,25 Carrie Eberle,R-Hand,14 Raine Wilson,R-Hand,Drop Ball,MM3,,Strike Swinging,1--2,1--1,,,,0 Out,,6. Inning,Virginia Tech,Duke,,235;285,Virginia Tech vs Duke
Virginia Tech vs Duke (127),1879252,16666,R1,04-20-2018,25 Carrie Eberle,R-Hand,14 Raine Wilson,R-Hand,Drop Ball,,,Ball in Play,,1--2,SS3,Double Play,,0 Out,,6. Inning,Virginia Tech,Duke,250;216,,Virginia Tech vs Duke
Virginia Tech vs Duke (128),1895919,11966,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,3 Haley Wymbs,L-Hand,Fast Ball,MR1,,Ball,1--0,0--0,,,,2 Out,,6. Inning,Virginia Tech,Duke,,344;232,Virginia Tech vs Duke
Virginia Tech vs Duke (129),1907885,10200,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,3 Haley Wymbs,L-Hand,Drop Ball,RIGHTM3,,Ball,2--0,1--0,,,,2 Out,,6. Inning,Virginia Tech,Duke,,409;359,Virginia Tech vs Duke
Virginia Tech vs Duke (130),1918085,16166,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,3 Haley Wymbs,L-Hand,Fast Ball,MR1,,Ball in Play,,2--0,DLF,Fly Out,,2 Out,,6. Inning,Virginia Tech,Duke,110;110,353;254,Virginia Tech vs Duke
Virginia Tech vs Duke (131),1934251,38766,Bases Empty,04-20-2018,10 Peyton St. George,R-Hand,25 Carrie Eberle,R-Hand,,ML2,,Ball in Play,,0--0,2B3,Ground Out,,0 Out,,6. Inning,Duke,Virginia Tech,277;234,160;259,Virginia Tech vs Duke
Virginia Tech vs Duke (132),1973017,15366,Bases Empty,04-20-2018,10 Peyton St. George,R-Hand,20 Sierra Walton,R-Hand,,LEFTM1,,Ball,1--0,0--0,,,,1 Out,,6. Inning,Duke,Virginia Tech,,77;133,Virginia Tech vs Duke
Virginia Tech vs Duke (133),1988383,16500,Bases Empty,04-20-2018,10 Peyton St. George,R-Hand,20 Sierra Walton,R-Hand,,LM3,,Ball,2--0,1--0,,,,1 Out,,6. Inning,Duke,Virginia Tech,,236;369,Virginia Tech vs Duke
Virginia Tech vs Duke (134),2004883,13433,Bases Empty,04-20-2018,10 Peyton St. George,R-Hand,20 Sierra Walton,R-Hand,,MR1,,Foul,2--1,2--0,,,,1 Out,,6. Inning,Duke,Virginia Tech,,326;218,Virginia Tech vs Duke
Virginia Tech vs Duke (135),2018316,16066,Bases Empty,04-20-2018,10 Peyton St. George,R-Hand,20 Sierra Walton,R-Hand,,UM2,,Strike Swinging,2--2,2--1,,,,1 Out,,6. Inning,Duke,Virginia Tech,,261;148,Virginia Tech vs Duke
Virginia Tech vs Duke (136),2034382,16966,Bases Empty,04-20-2018,10 Peyton St. George,R-Hand,20 Sierra Walton,R-Hand,,LEFTM3,,Ball,3--2,2--2,,,,1 Out,,6. Inning,Duke,Virginia Tech,,73;315,Virginia Tech vs Duke
Virginia Tech vs Duke (137),2051348,14366,Bases Empty,04-20-2018,10 Peyton St. George,R-Hand,20 Sierra Walton,R-Hand,,MR1,,Foul,3--2,3--2,,,,1 Out,,6. Inning,Duke,Virginia Tech,,326;238,Virginia Tech vs Duke
Virginia Tech vs Duke (138),2065714,9033,Bases Empty,04-20-2018,10 Peyton St. George,R-Hand,20 Sierra Walton,R-Hand,,LM1,,Ball,Walk,3--2,,,,1 Out,,6. Inning,Duke,Virginia Tech,,241;325,Virginia Tech vs Duke
Virginia Tech vs Duke (139),2074748,11966,R1,04-20-2018,10 Peyton St. George,R-Hand,11 Cana Davis,R-Hand,,ML2,,Strike Called,0--1,0--0,,,,1 Out,,6. Inning,Duke,Virginia Tech,,158;250,Virginia Tech vs Duke
Virginia Tech vs Duke (140),2086714,10400,R1,04-20-2018,10 Peyton St. George,R-Hand,11 Cana Davis,R-Hand,,UM1,,Ball,1--1,0--1,,,,1 Out,,6. Inning,Duke,Virginia Tech,,207;132,Virginia Tech vs Duke
Virginia Tech vs Duke (141),2097114,12766,R1,04-20-2018,10 Peyton St. George,R-Hand,11 Cana Davis,R-Hand,,LEFTM1,,Ball,2--1,1--1,,,,1 Out,,6. Inning,Duke,Virginia Tech,,73;150,Virginia Tech vs Duke
Virginia Tech vs Duke (142),2109880,24799,R1,04-20-2018,10 Peyton St. George,R-Hand,11 Cana Davis,R-Hand,,,,Ball in Play,,2--1,SS3,Double Play,,1 Out,,6. Inning,Duke,Virginia Tech,223;219,,Virginia Tech vs Duke
Virginia Tech vs Duke (143),2134679,21466,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,34 Rachel Abboud,L-Hand,Drop Ball,LR1,,Ball,1--0,0--0,,,,0 Out,,7. Inning,Virginia Tech,Duke,,344;332,Virginia Tech vs Duke
Virginia Tech vs Duke (144),2156145,9200,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,34 Rachel Abboud,L-Hand,Drop Ball,MR2,,Ball in Play,,1--0,SS3,Ground Out,,0 Out,,7. Inning,Virginia Tech,Duke,206;207,379;265,Virginia Tech vs Duke
Virginia Tech vs Duke (145),2165345,11400,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,2 Jameson Kavel,R-Hand,Drop Ball,ML4,,Foul,0--1,0--0,,,,1 Out,,7. Inning,Virginia Tech,Duke,,166;279,Virginia Tech vs Duke
Virginia Tech vs Duke (146),2176745,11700,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,2 Jameson Kavel,R-Hand,Drop Ball,ML2,,Strike Called,0--2,0--1,,,,1 Out,,7. Inning,Virginia Tech,Duke,,201;259,Virginia Tech vs Duke
Virginia Tech vs Duke (147),2188445,11333,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,2 Jameson Kavel,R-Hand,Drop Ball,LM2,,Ball,1--2,0--2,,,,1 Out,,7. Inning,Virginia Tech,Duke,,265;343,Virginia Tech vs Duke
Virginia Tech vs Duke (148),2199778,10000,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,2 Jameson Kavel,R-Hand,Drop Ball,LEFTM2,,Ball,2--2,1--2,,,,1 Out,,7. Inning,Virginia Tech,Duke,,55;270,Virginia Tech vs Duke
Virginia Tech vs Duke (149),2209777,14300,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,2 Jameson Kavel,R-Hand,Drop Ball,MM1,,Ball in Play,,2--2,PF,Ground Out,,1 Out,,7. Inning,Virginia Tech,Duke,245;272,230;213,Virginia Tech vs Duke
Virginia Tech vs Duke (150),2224077,7900,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,31 Kortney Dry,R-Hand,Changeup,MM2,,Strike Swinging,0--1,0--0,,,,2 Out,,7. Inning,Virginia Tech,Duke,,291;258,Virginia Tech vs Duke
Virginia Tech vs Duke (151),2231977,5767,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,31 Kortney Dry,R-Hand,Drop Ball,LM2,,Ball,1--1,0--1,,,,2 Out,,7. Inning,Virginia Tech,Duke,,253;333,Virginia Tech vs Duke
Virginia Tech vs Duke (152),2237743,10166,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,31 Kortney Dry,R-Hand,Drop Ball,UPM2,,Strike Swinging,1--2,1--1,,,,2 Out,,7. Inning,Virginia Tech,Duke,,117;1,Virginia Tech vs Duke
Virginia Tech vs Duke (153),2247910,13663,Bases Empty,04-20-2018,25 Carrie Eberle,R-Hand,31 Kortney Dry,R-Hand,Drop Ball,MM2,,Ball in Play,,1--2,3B2,Ground Out,,2 Out,,7. Inning,Virginia Tech,Duke,192;269,275;209,Virginia Tech vs Duke
