Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,8. Well Hit,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
PITCH (194),2927363,25483,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,13 Caitlyn Nolan,R-Hand,,UPL,,Ball in Play,,2--2,SS3,Line Out,,,0 Out,,6. Inning,East Tennesse State,Virginia Tech,196;216,161;175,PITCH
PITCH (195),2952863,14727,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,14 Emma Strouth,R-Hand,,LEFTM,,Ball,1--0,0--0,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,47;228,PITCH
PITCH (197),2967607,14983,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,14 Emma Strouth,R-Hand,,DOWNM,,Ball,2--0,1--0,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,364;412,PITCH
PITCH (198),2982607,15000,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,14 Emma Strouth,R-Hand,,UPM,,Ball,3--0,2--0,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,270;106,PITCH
PITCH (199),2997623,14998,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,14 Emma Strouth,R-Hand,,MR,,Strike Called,3--1,3--0,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,350;283,PITCH
PITCH (200),3012638,16801,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,14 Emma Strouth,R-Hand,,UPR,,Foul,3--2,3--1,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,348;174,PITCH
PITCH (201),3029455,14342,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,14 Emma Strouth,R-Hand,,MR,,Foul,3--2,3--2,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,348;280,PITCH
PITCH (202),3043814,14984,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,14 Emma Strouth,R-Hand,,MR,,Foul,3--2,3--2,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,385;227,PITCH
PITCH (203),3058815,15000,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,14 Emma Strouth,R-Hand,,ML,,Foul,3--2,3--2,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,169;214,PITCH
PITCH (204),3073832,19017,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,14 Emma Strouth,R-Hand,,MM,,Ball in Play,,3--2,MCF1,Single,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,214;111,226;219,PITCH
